"","Site","had_pptmean","had_pptcv"
"1","Alcohuaz",155.875862068966,50.9125229112358
"2","Calcareous",672.606896551724,41.4307897727927
"3","Carrizal Bajo",60.6344827586207,63.1193669970667
"4","Cerro Grande",75.5827586206897,69.2371599131622
"5","Fray Jorge",177.679310344828,57.9518456114512
"6","Illapel",250.944827586207,56.5456868002222
"7","Kearney",265.775862068966,37.4286647222328
"8","Las Campanas",357.837931034483,51.2513401111388
"9","Lindcove",275.706896551724,37.2688081697334
"10","Mantagua",357.837931034483,51.2513401111388
"11","McL seep",880.296551724138,35.4227522307158
"12","Motte",397.668965517241,46.5694896821173
"13","NeoHaus",75.5827586206897,69.2371599131622
"14","Riverwood",580.596551724138,34.2135825241182
"15","Sand Ridge grassland",287.913793103448,41.4242949725972
"16","Santiago",377.903448275862,49.5864612865434
"17","Sierra Foothills grazed",1051.23448275862,31.5689393195142
"18","Sweeney corral",186.086206896552,54.1916391775207
"19","Vallenar",43.0896551724138,64.2976559196678
